	word	frequency
1337	aa170003010a99be7700000000	1
1338	2116	1
1339	aa17000b028620c000a6fa2000	1
1340	20d9	1
1341	20de	1
1342	2121	1
1343	20f8	1
1344	20fd	1
1345	211e	1
1346	aa170004025eb0507600000000	1
1347	2115	1
1348	aa17000b01000048a400000000	1
1349	2122	1
1350	aa170009028600c000a6722000	1
1351	2114	1
1352	2112	1
1353	aa170009028620c000a6fa2000	1
1354	2118	1
1355	210e	1
1356	aa170009028600c00026702000	1
1357	20dc	1
1358	aa170004010a99be7700000000	1
1359	2108	1
1360	2110	1
1361	2126	1
1362	211d	1
1363	aa170004015eb0507600000000	1
1364	2109	1
1365	aa1700040135c9a87700000000	1
1366	2104	1
1367	210c	1
1368	210d	1
1369	2100	1
1370	211a	1
1371	aa1700030235c9a87700000000	1
1372	210a	1
1373	aa1700040235c9a87700000000	1
1374	2101	1
1375	aa17000b018004affd00000000	1
1376	2125	1
1377	2120	1
1378	20f4	1
1379	20da	1
1380	20d8	1
1381	2111	1
1382	aa17000901000080a800000000	1
1383	aa170004020a99be7700000000	1
1384	211c	1
1385	aa1700040000048000000000fe	1
1386	20fc	1
1387	20dd	1
1388	2106	1
1389	0xc7	1
1390	0xc9	1
1391	f69	1
1392	f20	1
1393	f9d	1
1394	f14	1
1395	ed2	1
1396	f19	1
1397	f5d	1
1398	efc	1
1399	f9e	1
1400	ebb	1
1401	eba	1
1402	ebd	1
1403	ecd	1
1404	ec7	1
1405	fb8	1
1406	f09	1
1407	f38	1
1408	f5b	1
1409	f64	1
1410	f4c	1
1411	f92	1
1412	f6d	1
1413	f0d	1
1414	ec8	1
1415	f2d	1
1416	f55	1
1417	ebe	1
1418	f3e	1
1419	f4b	1
1420	f63	1
1421	f42	1
1422	f12	1
1423	fa1	1
1424	f3a	1
1425	f1d	1
1426	f34	1
1427	f03	1
1428	f68	1
1429	f02	1
1430	f67	1
1431	f32	1
1432	ee5	1
1433	eb3	1
1434	f47	1
1435	f57	1
1436	ed0	1
1437	f24	1
1438	f74	1
1439	f61	1
1440	f50	1
1441	eb0	1
1442	f30	1
1443	f2c	1
1444	ed9	1
1445	f6a	1
1446	ec2	1
1447	fbc	1
1448	f39	1
1449	ef8	1
1450	ee8	1
1451	ede	1
1452	f33	1
1453	f41	1
1454	f86	1
1455	ebc	1
1456	ee9	1
1457	f15	1
1458	fb7	1
1459	f8a	1
1460	f56	1
1461	eb9	1
1462	fba	1
1463	f73	1
1464	f07	1
1465	eb7	1
1466	f31	1
1467	f10	1
1468	f21	1
1469	ece	1
1470	f08	1
1471	f5c	1
1472	f98	1
1473	f1f	1
1474	f62	1
1475	f2a	1
1476	f51	1
1477	f77	1
1478	f79	1
1479	f7c	1
1480	f71	1
1481	f81	1
1482	f99	1
1483	f3d	1
1484	fbb	1
1485	ecf	1
1486	eab	1
1487	f8b	1
1488	f60	1
1489	eee	1
1490	ef9	1
1491	f1a	1
1492	ef7	1
1493	eb8	1
1494	f80	1
1495	f54	1
1496	f9c	1
1497	f4a	1
1498	aa17000721c09aafc366000000	1
1499	f49	1
1500	aa1700072090000101800000cc	1
1501	f4d	1
1502	f90	1
1503	f75	1
1504	ee2	1
1505	f0c	1
1506	f82	1
1507	ecb	1
1508	eaf	1
1509	f13	1
1510	f16	1
1511	edc	1
1512	edf	1
1513	f85	1
1514	ee0	1
1515	fb6	1
1516	eae	1
1517	f76	1
1518	f91	1
1519	f04	1
1520	eef	1
1521	ebf	1
1522	f95	1
1523	f2b	1
1524	ed3	1
1525	f7d	1
1526	f87	1
1527	eea	1
1528	f6e	1
1529	ed1	1
1530	f8c	1
1531	ed4	1
1532	f78	1
1533	fa2	1
1534	ee1	1
1535	f8d	1
1536	usable	1
1537	bd	1
1538	aa1702000001ffff2a01000000	1
1539	aa1702000001ffffe802000000	1
1540	bf	1
1541	c8	1
1542	c6	1
1543	installed	1
1544	0010af001224	1
1545	000000001401	1
1546	000022004611	1
1547	0202c0a80079	1
1548	0602c0a8010a	1
1549	1403c0a8010a	1
1550	003949f35f00	1
1551	00fd6cf35f00	1
1552	000583f35f00	1
1553	00e86af35f00	1
1554	004b8bf35f00	1
1555	00486ff35f00	1
1556	005272f35f00	1
1557	002e92f35f00	1
1558	00554af35f00	1
1559	00908df35f00	1
1560	ps4	1
1561	0xc2	1
1562	133	1
1563	bios_post_status	1
1564	960	1
1565	1536	1
1566	576	1
1567	1152	1
1568	1056	1
1569	288	1
1570	672	1
1571	1248	1
1572	dts	1
1573	nvme1_temp	1
1574	0xc4	1
1575	0x28	1
1576	ntp	1
1577	200002610200	1
1578	ec	1
1579	26017f681609ff7fff7fff7fc0	1
1580	dimm_status	1
1581	disk12	1
1582	disk13	1
1583	dimm141_status	1
1584	dimm051_status	1
1585	dimm131_status	1
1586	nic14	1
1587	dimm011_status	1
1588	disk19	1
1589	riser3	1
1590	disk17	1
1591	dimm021_status	1
1592	disk18	1
1593	dimm040_status	1
1594	disk15	1
1595	dimm121_status	1
1596	disk16	1
1597	dimm041_status	1
1598	dimm061_status	1
1599	disk14	1
1600	dimm161_status	1
1601	nic12	1
1602	dimm111_status	1
1603	dimm151_status	1
1604	dimm071_status	1
1605	nic11	1
1606	dimm031_status	1
1607	nic13	1
1608	dimm171_status	1
1609	9120	1
1610	dimm1b	1
1611	memory_hot	1
1612	00fc92f15f00	1
